id;type;file
constr_fill_recess;construction;data/json/construction.json
ATTACK_UPPER;monster_flag;data/json/monsters/monster_flags.json
refctr_SE3b_z-4;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_E5e_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
dissect_fish_sample_large;harvest;data/json/harvest_dissect.json
belt_str;ARMOR;data/mods/Magiclysm/items/enchanted.json
MA_270_SHIRLEY;city;data/mods/MA/cities.json
nested_mask_gas;nested_category;data/json/recipes/nested.json
constr_support_s;construction;data/json/construction.json
refctr_NE1b_z-4;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_NE2d_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
ws_fire_lookout_tower;overmap_special;data/json/overmap/overmap_special/specials.json
refctr_SE4d_z2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_W2c;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_NW5a_z-3;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
achievement_vehicle_distance_acft_flyergold;achievement;data/json/achievements.json
test_sonic_screwdriver;TOOL;data/mods/TEST_DATA/items.json
NC_NPC_MUTANT_RAT;npc_class;data/mods/Aftershock/npcs/Backgrounds/npc_classes_mutant.json
constr_fence_post;construction;data/json/construction.json
NC_SOLDIER_weapon_random;item_group;data/json/npcs/NC_SOLDIER.json
ACT_VEHICLE_REPAIR;activity_type;data/json/player_activities.json
refctr_S4e;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
NC_CITY_COP_torso;item_group;data/mods/innawood/npcs/class_item_groups.json
refctr_SW3e_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
NC_OPS_gloves;item_group;data/mods/Military_Professions/npc/NC_OPS.json
refctr_W4c_z1;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
achievement_lvl_10_fabrication;achievement;data/json/achievements.json
test_platinum_bit;AMMO;data/mods/TEST_DATA/metal.json
f_toposcan_process;furniture;data/mods/Aftershock/maps/furniture.json
app_battery_clay_array;construction;data/mods/innawood/construction.json
MA_55_CHATHAM;city;data/mods/MA/cities.json
MA_82_DUXBURY;city;data/mods/MA/cities.json
score_max_velocity_acft;score;data/json/scores.json
football_beginner;profession;data/json/hobbies.json
MA_36_BOURNE;city;data/mods/MA/cities.json
mon_leech_root_drone;MONSTER;data/json/monsters/power_leech.json
refctr_N5d_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
test_constr_palisade_gate;construction;data/mods/TEST_DATA/construction.json
bus_station;city_building;data/json/overmap/multitile_city_buildings.json
morale_food_good;morale_type;data/json/morale_types.json
score_distance_mounted;score;data/json/scores.json
extscenario_chimera;scenario;data/mods/extra_mut_scen/mutation_scenarios.json
afs_atomic_smartphone_music;TOOL;data/mods/Aftershock/items/tools.json
Lab_MEDICAL_2x1x2;overmap_special;data/json/overmap/overmap_special/lab_modular/lab_mini_specials.json
fake_stove;TOOL;data/json/items/tool/pseudo.json
EOC_quietfarm_nearby;effect_on_condition;data/json/vitrification_effect_on_condition.json
constr_chain_hoist_thconc;construction;data/json/construction.json
ACT_WORKOUT_MODERATE;activity_type;data/json/player_activities.json
prac_athletics_int;practice;data/json/recipes/practice/athletics.json
NC_ARMY_throw;item_group;data/json/npcs/NC_ARMY.json
dissect_elfa_sample_huge;harvest;data/json/harvest_dissect.json
refctr_NE3e_z-4;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
fd_acid_vent;field_type;data/json/field_type.json
refctr_SE4a_z2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
t_rock_hematite;terrain;data/mods/innawood/mining/furniture_and_terrain/veins.json
t_caramel;terrain;data/mods/My_Sweet_Cataclysm/sweet_mapgen/sweet_terrain.json
debugged;effect_type;data/mods/TEST_DATA/effects.json
test_meower_armor;PET_ARMOR;data/mods/TEST_DATA/items.json
microlab_generic_hallway;overmap_terrain;data/json/overmap/overmap_terrain/overmap_terrain_microlab.json
EOC_DRAIN_RESIST_POTION_COMEDOWN_PENALTY;effect_on_condition;data/mods/MindOverMatter/effectoncondition/eoc_power_effects.json
prac_psionics_advan;practice;data/mods/MindOverMatter/recipes/psionics_practice.json
fae_food;disease_type;data/mods/Xedra_Evolved/disease.json
ACT_ADD_VARIABLE_DURING;activity_type;data/mods/TEST_DATA/activity.json
NC_SOLDIER_rifle;item_group;data/mods/innawood/npcs/class_item_groups.json
refctr_NW4e_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_N4a_z2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
campus_media;overmap_special;data/json/overmap/overmap_special/campus.json
app_microwave;vehicle_part;data/json/furniture_and_terrain/appliances.json
refctr_S2c_z-4;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
constr_door_boarded_damaged;construction;data/json/construction.json
constr_finish_down_bed;construction;data/json/construction.json
offal_canned_jar_3l_glass_sealed_12;item_group;data/json/itemgroups/Food/food.json
ENCH_TEST_TAIL;enchantment;data/mods/TEST_DATA/body_parts.json
ACT_MULTIPLE_FISH;activity_type;data/json/player_activities.json
app_solar_v2;construction;data/json/construction.json
evac_center_1_z-4;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_N3d_z2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
socialdance;profession;data/json/hobbies.json
achievement_kill_changeling;achievement;data/mods/Xedra_Evolved/achievements/achievements.json
refctr_E4e;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
EOC_character_starts_activity_event_test;effect_on_condition;data/mods/TEST_DATA/EOC.json
fake_milling_item;GENERIC;data/json/items/fake.json
refctr_SE1c_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_S5c_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
woodboard;vehicle_part;data/json/vehicleparts/boards.json
prac_articulation;practice;data/json/recipes/practice/tailoring.json
constr_window_no_curtains;construction;data/json/construction.json
Island_5_swamp;overmap_special;data/mods/innawood/overmap/specials_kept.json
afs_speed_freak;profession;data/mods/Aftershock/player/professions.json
chitin3_molt_timer3;effect_on_condition;data/json/effect_on_condition.json
hdboard;vehicle_part;data/json/vehicleparts/boards.json
cigar_lit;GENERIC;data/json/items/generic.json
NC_SOLDIER_eyes;item_group;data/mods/innawood/npcs/class_item_groups.json
constr_adobe_brick_wall_embrasure;construction;data/json/construction.json
f_wild_sarsaparilla;furniture;data/json/furniture_and_terrain/furniture-flora.json
fd_methsmoke;field_type;data/json/field_type.json
morale_perm_nomad;morale_type;data/json/morale_types.json
NC_ARMY_smg;item_group;data/mods/Military_Professions/npc/NC_ARMY.json
NC_BOUNTY_HUNTER_storage;item_group;data/json/npcs/NC_BOUNTY_HUNTER.json
NC_OPS_shirt_male;item_group;data/mods/Military_Professions/npc/NC_OPS.json
test_ranged_dispersion_manip_mod;character_mod;data/mods/TEST_DATA/character_modifiers.json
nested_spears;nested_category;data/json/recipes/nested.json
NC_SOLDIER_weapon_random;item_group;data/mods/innawood/npcs/class_item_groups.json
human_meat_cooked;requirement;data/json/requirements/cooking_components.json
MA_282_STERLING;city;data/mods/MA/cities.json
evac_center_3_z1;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
afs_quilt;MIGRATION;data/mods/Aftershock/migration.json
refctr_N4d;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
MIGO_THRESH_RAD_FLUSH;mutation;data/mods/Aftershock/mutations/mutations.json
achievement_kill_100_moxies;achievement;data/mods/Aftershock/achievements/achievements.json
achievement_exhume_10_graves;achievement;data/json/achievements.json
mon_triffid_sprig;MONSTER;data/json/monsters/triffid.json
prac_elastics;practice;data/json/recipes/practice/tailoring.json
ACT_GENERIC_GAME;activity_type;data/json/player_activities.json
strong_antibiotic_visible;effect_type;data/json/effects.json
MA_230_PELHAM;city;data/mods/MA/cities.json
mend_fault_engine_immobiliser_deactivate;fault_fix;data/json/faults/fixes_vehicles.json
refctr_E3c_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_SE5c_z2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_SE1a_z-3;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
prac_rifles_beg;practice;data/json/recipes/practice/ranged.json
NC_BOUNTY_HUNTER_shoes;item_group;data/mods/innawood/npcs/class_item_groups.json
constr_concrete_wall_w;construction;data/json/construction.json
refctr_E2e_z-2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
refctr_NE4e_z2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
evac_center_18_z2;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
constr_palisade_pulley;construction;data/json/construction.json
refctr_SW2e_z-3;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
MA_336_WEYMOUTH;city;data/mods/MA/cities.json
NC_NPC_MUTANT_FISH;npc_class;data/mods/Aftershock/npcs/Backgrounds/npc_classes_mutant.json
nested_longsword;nested_category;data/json/recipes/nested.json
NC_SOLDIER_masks;item_group;data/json/npcs/NC_SOLDIER.json
tailoring_lycra_small;requirement;data/json/requirements/tailoring.json
constr_sdoor_frame;construction;data/json/construction.json
constr_carpet_primitive_yellow;construction;data/json/construction.json
refctr_E2a;overmap_terrain;data/mods/Graphical_Overmap/go_overmap_terrain_evac_center.json
constr_wall_brown;construction;data/json/construction.json
